3,0164
33,6844
30,158
42,2375
38,7186
32,1832
40,6955
26,142
34,6828
39,2061
34,6914
35,193
41,2291
30,1609
49,2749
22,6242
35,6879
39,2614
36,7011
37,2008
31,6648
39,2181
39,2085
27,1499
38,7063
31,1689
36,7086
33,1782
36,7015
36,1941
39,7181
35,6933
35,6836
34,1851
34,7324
39,7079
35,1881
42,2304
35,6972
31,1688
36,1966
36,1855
37,7049
40,2247
38,7089
34,1852
38,7153
35,7001
36,196
36,2009
39,7974
33,1785
36,1928
40,7203
41,2156
31,1719
34,6896
36,2034
34,683
37,2003
42,2203
29,6593
33,1854
37,2012
40,714
36,1958
36,6926
35,2381
42,7233
29,1518
37,705
39,2058
38,2057
39,2053
33,6744
41,2218
32,6726
37,2098
41,7241
35,6938
39,2092
27,6493
38,7006
40,7898
41,2105
39,2138
35,6928
34,1787
39,713
39,2062
40,7161
27,6515
39,7126
41,2216
42,7256
38,2067
32,6722
41,2272
41,7179
42,298
23,6304
40,2138
42,7219
45,238
40,7164
37
