1,495
9,4292
15,8672
62,9934
15,8712
79,8571
15,8701
6,449
28,7694
66,4619
15,8744
13,8859
15,8721
48,1119
15,8749
6,9415
20,8322
70,4328
15,377
11,4067
15,8727
57,0391
50,591
64,4812
17,3597
72,4216
15,8764
8,4224
27,7931
62,4802
15,8815
57,5299
52,0746
53,073
15,3824
15,3691
15,376
58,0461
16,8533
10,4142
15,8725
70,9277
14,8798
11,9029
15,8726
59,0238
16,368
9,9211
15,8708
76,3834
15,8731
8,4318
41,1679
46,1434
15,8566
9,4237
15,8806
81,8329
15,8721
12,3993
15,8726
70,928
15,8711
9,9211
15,8703
77,3774
15,8708
7,9376
16,3694
63,9816
52,5756
61,5043
15,8717
9,4256
32,2403
46,6249
15,8705
5,9546
32,7336
63,5033
15,8565
9,9202
34,7191
57,0401
15,3759
8,9306
15,8708
76,3832
15,8723
12,8963
15,3812
74,8912
15,376
106,1441
15,8719
9,9243
30,2573
51,1002
15,8635
98,2041
15,3718
12,3997
15,871
62,001
15,8713
8,928
31,2493
63,4963
15,3669
8,4306
34,7212
46,6235
16,3685
9,92
27,79
62,4828
15,8711
13,3924
38,202
41,6535
15,3759
8,4326
34,7207
74,3988
16,3691
12,407
16,36
43,1669
46,1143
72,436
15,8705
65,9912
51,1091
66,961
15,8732
13,9047
15,3591
40,179
46,6207
72,4258
14,3736
73,4228
15,3613
7,9358
35,216
58,5286
15,8821
12,3919
30,2538
57,053
13,8745
9,4257
23,3126
67,9502
15,3789
14,3815
30,7523
58,0328
16,8629
6,4488
33,2312
71,9196
16,3688
10,4158
25,7914
45,1372
15,8717
6,4633
36,1923
56,5441
16,8636
11,9047
17,856
63,4993
16,3658
8,4233
25,7918
73,5331
16,3711
10,5433
34,2277
35,2177
15,8691
11,408
16,8642
61,5049
74,4014
28,2709
67,9562
50,0906
16,8647
7,4398
29,2644
45,1388
71,9168
52,5764
16,8642
17,8628
16,8565
62,0009
17,36
5,963
23,3002
65,4729
15,8719
9,9196
40,1771
48,6068
64,4806
58,528
16,3684
11,4072
16,3688
69,4416
15,3743
9,4241
16,8639
72,4169
15,3749
11,4085
36,7035
48,1123
15,8717
8,9286
30,2561
65,9683
15,872
11,4081
38,6935
41,1629
64,9755
63,9839
15,8729
9,9188
29,2639
48,1127
60,5265
38,178
17,36
74,9058
55,5414
62,9929
17,8558
12,3997
29,7607
48,6083
63,4878
48,6099
16,3657
11,408
16,3685
51,5839
60,512
65,4719
16,8638
10,9128
30,7637
40,6606
16,3667
7,4413
30,7513
62,9926
15,8713
10,4161
41,6787
40,1614
16,8638
8,4322
28,7683
67,4717
15,3616
8,4308
39,6802
45,1356
16,8644
7,9372
35,2156
68,9435
15,3756
11,4083
33,7281
38,1919
16,372
5,9496
35,7101
60,5142
61,5057
48,1111
65,9674
49,5985
16,8638
7,4396
35,2308
56,5291
61,0083
53,0728
17,3607
8,9274
38,2038
55,0442
16,8646
5,4549
39,6801
64,4804
14,8802
11,4084
40,6711
41,6643
15,872
8,9282
31,7447
61,0076
15,8722
13,3917
15,8722
42,1704
15,3656
6,4487
27,7757
44,1432
14,8939
76,882
45,6162
54,0641
68,9455
32,7352
85,808
